"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",3,2,1,3,2,3,3,1,1,2,2,3,1,1,3,3,2,3
"2",3,2,2,2,3,3,2,2,1,1,2,1,1,1,3,3,1,1
"3",3,1,2,2,1,3,3,3,1,3,2,3,1,1,1,2,1,1
"4",1,3,3,2,1,3,3,1,2,3,3,1,1,2,3,3,1,2
"5",3,2,2,1,2,1,2,2,3,2,2,3,2,2,2,3,1,2
"6",3,1,2,1,2,3,1,3,3,2,1,1,3,3,3,3,2,2
"7",3,3,2,1,2,3,1,1,2,3,1,3,2,2,1,1,1,2
"8",1,1,2,2,3,2,3,1,2,3,1,3,3,1,1,2,3,1
"9",1,2,1,3,3,2,1,2,1,3,2,2,1,3,2,1,1,3
"10",3,3,3,3,1,3,2,3,1,2,3,3,3,3,3,3,3,3
"11",2,1,2,2,1,2,3,1,3,2,2,1,2,1,1,1,3,3
"12",1,3,2,3,3,1,2,2,3,3,1,2,2,2,2,2,2,2
"13",3,1,2,3,1,3,1,2,1,1,1,3,3,1,1,1,1,2
"14",2,2,2,1,3,1,2,1,2,2,1,3,3,2,3,2,3,3
"15",3,1,3,1,1,2,1,2,1,2,3,3,2,2,3,3,1,2
"16",3,1,3,1,3,3,3,1,3,3,2,3,3,1,3,3,1,1
"17",1,1,1,1,2,2,2,2,3,2,1,3,2,2,1,2,1,1
"18",3,1,1,3,1,2,3,1,2,3,2,2,3,2,2,2,2,2
"19",1,3,3,3,3,3,2,2,3,3,2,2,3,2,3,1,3,1
"20",3,1,2,2,2,2,1,1,3,2,1,2,1,1,3,1,2,2
"21",1,3,3,3,3,1,3,3,2,2,2,3,1,3,1,2,3,1
"22",1,2,1,3,3,2,3,1,1,1,3,3,2,1,3,3,2,1
"23",1,1,1,1,2,1,1,2,3,3,3,3,3,1,1,1,1,3
"24",1,3,2,1,3,2,1,1,3,2,2,3,2,3,2,1,2,3
