"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,2,3,3,3,2,4,4,1,3
"2",2,3,1,4,4,4,2,1,1,4
"3",3,1,3,4,3,2,4,1,1,2
"4",4,4,2,4,1,2,4,1,3,3
"5",1,3,1,4,4,3,3,1,4,1
"6",3,1,3,2,1,4,1,4,4,3
"7",4,4,4,4,1,2,1,1,3,4
"8",4,2,1,2,2,3,4,4,2,1
"9",1,1,4,1,4,3,2,3,1,1
"10",3,3,2,1,2,1,2,2,1,1
"11",1,4,2,3,4,1,1,3,4,2
"12",3,3,2,4,3,1,1,3,1,4
"13",3,4,1,1,4,2,2,4,1,2
"14",3,2,3,4,1,3,4,1,2,2
"15",3,2,4,2,2,1,4,2,2,3
"16",4,3,3,4,3,4,4,1,1,3
"17",1,1,4,4,2,4,1,2,1,2
"18",2,4,1,3,1,4,3,4,3,2
"19",1,3,1,1,4,4,4,3,1,3
"20",1,1,2,2,3,1,4,1,3,4
"21",1,3,2,1,4,1,1,4,1,3
"22",1,3,4,4,1,4,1,4,4,4
"23",4,2,3,4,3,4,2,4,1,4
"24",2,1,4,4,2,1,4,3,4,3
"25",4,2,3,1,4,4,4,1,1,4
"26",3,3,3,2,4,1,1,2,1,3
"27",1,1,4,1,4,3,3,2,4,3
"28",2,3,1,4,3,3,2,3,4,1
"29",4,2,1,2,1,4,4,4,2,1
"30",2,4,1,4,3,3,2,3,3,3
"31",3,2,2,2,2,4,3,4,2,2
"32",1,4,1,4,4,2,4,4,3,4
