"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,1,2,3,4,3,1,1,4,2,2
"2",4,1,3,4,2,4,4,4,2,2,4
"3",4,1,4,2,1,1,2,1,1,4,3
"4",3,4,3,4,1,4,3,2,4,2,1
"5",1,1,4,4,2,4,1,1,3,2,2
"6",1,3,3,3,4,4,2,1,3,1,4
"7",3,4,2,2,1,4,3,3,3,3,3
"8",3,3,1,4,2,3,3,3,4,4,1
"9",2,1,2,1,2,2,3,4,3,2,1
"10",2,3,2,2,3,4,3,1,4,3,1
"11",3,4,3,4,2,4,2,1,4,2,4
"12",4,4,4,4,3,2,4,1,3,3,1
"13",4,1,4,1,3,2,1,3,2,3,4
"14",2,3,3,4,2,4,1,4,1,2,4
"15",4,3,1,2,4,3,1,4,3,3,1
"16",2,3,1,4,2,4,2,1,3,1,4
"17",1,2,2,4,2,4,1,4,3,1,2
"18",3,1,2,3,2,4,1,1,2,2,2
"19",3,1,3,2,3,2,4,4,4,3,3
"20",3,3,1,2,2,2,2,1,2,1,2
"21",2,1,3,3,4,1,1,2,2,1,3
"22",4,1,3,2,3,4,2,3,3,4,1
"23",3,4,4,3,1,3,4,2,4,4,2
"24",2,2,2,4,3,3,1,2,1,4,3
"25",2,2,1,2,3,4,3,1,4,4,1
"26",3,2,2,1,4,2,1,3,3,3,1
"27",1,2,4,2,2,4,3,3,1,4,2
"28",3,3,4,2,3,1,1,4,1,4,1
"29",3,4,1,1,3,4,3,4,4,4,4
"30",1,3,2,1,1,2,1,3,3,4,1
"31",1,4,4,4,4,2,3,2,2,3,2
"32",4,3,2,3,3,1,2,3,3,4,3
