"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",1,4,4,1,2,1,3,2,4,2,1,2,1,2,1,3,2
"2",2,1,2,1,4,2,3,3,4,1,1,1,1,3,1,1,3
"3",2,1,4,4,1,3,3,1,2,1,3,2,2,4,3,2,4
"4",2,4,3,4,1,2,4,2,1,4,4,4,3,1,3,1,2
"5",3,3,1,4,2,2,2,2,2,3,4,2,1,3,4,3,2
"6",1,3,3,2,4,3,2,2,2,2,1,4,2,2,3,2,3
"7",4,2,1,3,1,2,2,4,3,3,2,4,2,4,2,1,4
"8",2,1,1,2,2,3,3,2,4,4,3,2,4,3,3,4,3
"9",4,3,3,4,1,1,1,2,4,4,2,3,3,1,3,3,3
"10",3,4,3,4,2,1,3,4,4,1,4,1,2,3,1,4,4
"11",2,1,4,2,1,4,3,1,3,1,4,4,4,4,3,3,2
"12",2,1,3,4,3,1,1,1,1,4,1,3,2,3,1,3,2
"13",2,2,3,2,4,3,3,4,1,4,3,3,2,1,1,2,2
"14",3,4,4,4,3,1,1,4,3,1,3,3,2,1,2,3,4
"15",3,3,3,3,4,2,2,2,3,1,1,4,4,4,1,1,2
"16",1,1,3,4,3,4,2,3,4,2,2,1,3,1,2,2,2
"17",1,1,4,1,1,1,2,1,2,2,2,3,2,2,4,1,1
"18",3,4,4,3,2,4,4,1,3,1,3,1,2,2,2,1,4
"19",1,4,2,2,2,3,4,1,4,1,2,4,2,3,2,1,3
"20",4,2,1,3,2,4,2,1,1,2,1,4,4,4,4,2,1
"21",3,4,2,2,2,3,1,3,3,2,1,4,1,2,4,4,2
"22",3,3,1,4,4,2,2,1,3,4,3,4,4,2,3,1,1
"23",3,1,3,1,1,4,4,2,1,4,1,2,4,2,1,1,3
"24",3,4,4,4,3,3,2,4,2,1,2,1,1,2,3,3,4
"25",4,2,4,3,2,3,1,4,1,2,4,4,3,2,2,2,2
"26",2,4,4,3,3,4,4,1,1,1,2,4,2,4,3,3,3
"27",2,2,3,1,2,4,1,2,4,3,1,3,2,3,1,4,1
"28",4,1,1,3,3,1,4,2,4,1,3,3,4,4,3,1,2
"29",3,2,2,1,2,4,1,2,4,1,3,1,2,3,3,2,1
"30",2,1,4,4,4,4,4,1,4,3,4,2,4,1,3,4,3
"31",4,2,3,1,4,4,3,1,3,2,1,2,4,3,2,4,3
"32",1,2,1,1,2,3,1,3,4,2,3,1,4,1,2,4,2
