"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",4,3,1,1,3,4,3,1,4,2,4,3,4
"2",2,1,2,1,4,1,3,1,1,1,2,1,4
"3",4,4,1,1,3,2,1,1,2,2,4,1,1
"4",1,1,1,1,3,4,1,4,4,4,4,4,1
"5",4,3,1,2,3,2,2,4,4,3,2,1,1
"6",4,2,4,3,3,2,1,2,4,1,3,1,4
"7",2,3,3,1,2,3,2,3,2,2,4,4,2
"8",3,4,3,2,4,2,2,2,3,1,2,1,1
"9",1,3,4,4,1,3,2,1,4,1,2,1,4
"10",2,2,2,4,2,2,1,4,2,4,2,2,4
"11",3,3,1,4,2,2,1,2,4,3,3,2,1
"12",1,2,1,3,1,3,4,1,4,2,4,2,1
"13",4,4,3,1,3,1,3,3,1,2,3,3,3
"14",3,4,1,1,1,3,3,2,2,4,2,1,1
"15",4,2,3,1,2,1,4,3,1,1,2,3,3
"16",2,4,2,2,2,4,3,4,4,2,1,4,4
"17",1,4,3,4,1,3,4,1,2,1,1,2,4
"18",2,2,4,4,4,1,1,4,1,1,4,4,1
"19",3,3,1,2,3,1,1,3,4,4,1,2,4
"20",2,4,3,3,2,1,4,3,4,3,1,1,2
"21",1,2,1,2,4,1,2,1,1,2,3,2,2
"22",3,2,3,4,2,4,3,4,1,3,4,1,2
"23",2,2,1,2,4,3,2,3,3,2,3,4,4
"24",1,4,3,2,4,3,1,1,4,3,2,1,3
"25",4,2,4,3,2,4,3,2,4,1,2,4,1
"26",2,3,2,3,2,1,4,2,2,3,1,2,1
"27",4,4,3,2,2,3,2,3,2,1,3,4,1
"28",4,2,2,2,1,3,3,2,4,2,2,4,3
"29",3,1,3,1,2,1,4,3,3,3,3,4,3
"30",4,1,1,3,1,4,4,4,2,4,4,3,2
"31",2,3,3,3,1,2,1,4,2,2,4,1,4
"32",3,3,3,2,4,2,4,2,2,2,4,2,3
"33",3,1,2,2,2,2,2,2,4,2,2,1,4
"34",4,2,4,4,1,3,2,2,1,4,2,3,2
"35",1,1,2,4,2,3,2,4,1,2,1,2,4
"36",2,4,2,1,2,3,4,1,4,3,1,1,1
