"","V1","V2","V3","V4","V5","V6"
"1",2,4,4,3,4,2
"2",4,1,1,4,1,2
"3",2,2,4,2,1,4
"4",2,3,4,2,1,1
"5",1,2,1,2,4,3
"6",1,2,1,2,1,4
"7",2,1,1,4,4,1
"8",3,2,1,4,2,3
"9",3,2,3,1,3,4
"10",4,1,4,4,4,2
"11",4,4,3,4,3,1
"12",3,2,4,2,1,1
"13",4,1,1,1,3,2
"14",2,1,3,3,2,2
"15",2,3,4,4,2,4
"16",1,1,3,2,3,4
"17",2,2,2,2,1,1
"18",2,3,1,4,3,1
"19",1,3,3,2,4,2
"20",2,1,1,2,3,1
"21",2,1,4,2,1,4
"22",1,3,2,1,4,1
"23",2,2,4,4,1,4
"24",3,1,4,4,3,4
"25",1,2,3,4,1,1
"26",3,2,4,1,3,2
"27",3,4,1,1,3,2
"28",3,2,4,3,1,4
"29",2,1,1,1,3,3
"30",4,4,2,4,2,4
"31",1,4,1,4,1,3
"32",1,1,3,3,3,4
"33",4,1,4,1,2,2
"34",4,4,2,2,2,2
"35",1,3,2,1,3,4
"36",1,1,4,4,2,4
