"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,2,3,3,2,2,3,2
"2",3,1,2,2,2,4,1,3
"3",1,3,3,4,4,4,2,2
"4",2,2,2,2,3,3,1,1
"5",1,3,3,1,3,2,2,2
"6",3,3,4,2,1,1,1,4
"7",1,1,1,1,1,4,2,2
"8",4,2,4,2,1,2,4,1
"9",2,4,2,3,3,3,2,4
"10",2,2,4,1,2,3,3,4
"11",4,1,1,1,1,3,3,2
"12",2,3,2,2,3,4,4,2
"13",3,4,3,3,3,4,3,3
"14",4,1,3,2,4,2,1,1
"15",4,4,1,1,2,1,4,4
"16",4,1,3,2,3,4,1,4
"17",4,1,4,1,2,1,1,1
"18",4,1,1,3,2,2,3,4
"19",3,2,4,1,1,3,4,2
"20",2,4,4,2,2,4,3,3
"21",4,1,1,3,4,4,2,2
"22",3,3,2,1,4,4,4,4
"23",1,3,2,3,3,4,4,1
"24",2,4,2,2,1,4,3,4
"25",2,1,2,1,1,4,4,2
"26",2,4,3,4,1,1,2,4
"27",3,4,2,3,2,2,1,3
"28",1,1,2,4,2,3,3,1
"29",3,2,4,4,3,4,2,3
"30",3,1,2,1,1,2,1,4
"31",1,3,4,3,2,2,4,3
"32",4,4,4,1,3,4,1,3
"33",1,1,2,2,1,2,4,2
"34",4,2,4,3,4,4,2,4
"35",4,2,1,2,1,4,4,4
"36",4,4,2,4,3,3,4,1
