"","V1","V2","V3"
"1",3,1,3
"2",1,1,2
"3",3,2,1
"4",1,1,2
"5",1,2,3
"6",1,2,2
"7",3,1,1
"8",1,1,2
"9",1,2,1
"10",1,1,2
"11",1,2,1
"12",3,2,2
"13",1,3,2
"14",1,2,3
"15",3,1,1
"16",1,3,1
"17",2,3,3
"18",1,1,2
"19",1,1,2
"20",1,1,3
"21",1,3,1
"22",3,3,3
"23",3,1,2
"24",3,3,1
"25",3,1,3
"26",1,2,2
"27",3,1,3
"28",3,3,1
"29",3,2,1
"30",2,3,1
"31",3,1,3
"32",3,3,3
"33",2,2,1
"34",3,1,2
"35",2,3,1
"36",3,3,2
"37",1,1,3
"38",1,1,2
"39",2,3,3
"40",2,3,3
"41",2,3,3
"42",2,2,1
"43",2,1,1
"44",1,3,3
"45",2,2,3
