"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",2,4,1,3,3,3,2,2,1,1,3,2,1,2,3,3,4
"2",2,4,3,4,2,4,3,2,4,4,2,4,3,3,1,2,4
"3",4,1,1,4,3,1,1,4,3,4,3,1,2,3,3,2,2
"4",2,1,1,2,4,1,4,2,2,4,4,3,3,1,2,4,3
"5",1,2,4,1,3,2,4,1,1,2,3,3,3,3,1,3,1
"6",4,3,2,2,3,4,2,2,4,2,1,1,3,1,4,4,1
"7",1,1,2,4,4,2,3,3,1,3,4,4,1,4,4,1,1
"8",3,2,2,2,2,1,1,4,1,1,2,4,4,2,2,1,1
"9",2,3,3,1,4,3,1,4,3,3,1,3,2,2,4,1,4
"10",1,3,4,4,1,2,4,3,3,1,2,1,4,1,3,4,4
"11",3,2,4,3,2,3,3,3,2,2,1,3,2,1,3,2,2
"12",3,2,3,3,4,4,4,4,4,1,4,1,1,4,1,3,3
"13",4,4,4,3,1,2,2,1,4,3,4,4,2,2,2,4,2
"14",4,1,3,1,1,4,2,3,2,2,3,2,4,3,2,1,3
"15",1,3,2,2,1,3,1,1,2,4,2,2,1,4,1,2,2
"16",3,4,1,1,2,1,3,1,3,3,1,2,4,4,4,3,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
