"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,1,3,3,2,2,2,1,3,3
"2",3,3,2,3,3,3,3,1,1,1
"3",2,1,2,2,2,1,1,1,1,2
"4",1,3,1,2,3,1,1,1,3,3
"5",2,1,1,2,1,3,3,3,3,1
"6",2,3,1,1,2,2,3,2,1,3
"7",1,2,1,3,1,2,2,1,1,2
"8",1,2,2,1,2,3,2,2,3,1
"9",3,2,3,2,1,3,1,2,1,3
"10",3,3,2,1,1,2,1,3,3,2
"11",2,2,3,3,3,1,3,2,3,2
"12",1,3,3,2,2,3,3,3,2,2
"13",3,1,1,1,3,3,2,2,2,2
"14",2,3,3,1,1,1,2,1,2,1
"15",1,1,2,3,1,1,3,2,2,3
"16",1,1,3,1,3,2,1,3,1,1
"17",2,2,2,2,3,2,2,3,2,3
"18",3,2,1,3,2,1,1,3,2,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
