"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",4,4,1,2,4,1,3,2,2,2,3,3,2,2
"2",3,4,2,1,2,1,1,4,1,2,3,4,4,4
"3",4,2,4,4,3,1,1,4,2,4,2,1,1,2
"4",4,2,3,1,1,4,2,4,4,1,4,4,2,3
"5",3,3,4,3,4,2,2,2,4,2,4,1,1,4
"6",3,1,1,1,1,3,1,2,3,4,4,1,3,2
"7",3,2,2,4,4,2,4,1,2,1,1,4,3,1
"8",4,4,3,3,2,3,3,1,1,4,4,2,1,1
"9",2,1,3,2,2,2,3,3,2,1,2,1,2,4
"10",1,4,2,3,4,4,2,4,3,4,2,2,3,4
"11",1,2,1,2,2,1,1,1,4,3,1,2,2,4
"12",3,1,1,3,1,2,4,4,1,3,2,3,1,3
"13",4,3,2,1,3,2,3,3,3,3,1,2,4,3
"14",1,1,3,3,3,3,1,3,4,2,1,3,3,2
"15",2,3,1,4,3,3,2,1,1,1,3,2,3,3
"16",2,1,2,4,3,4,3,2,4,3,3,4,1,1
"17",2,3,4,1,4,4,4,3,1,4,1,3,2,1
"18",1,4,4,4,2,1,4,2,3,1,4,3,4,3
"19",2,3,3,2,1,4,4,1,3,2,2,1,4,2
"20",1,2,4,2,1,3,2,3,2,3,3,4,4,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
