"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,3,4,1,1,1,3,4,3,2,3,2
"2",2,1,2,2,4,3,3,4,2,1,2,4
"3",4,3,1,3,3,4,3,2,2,3,1,3
"4",4,2,2,4,2,1,2,4,3,3,4,4
"5",4,1,3,2,3,2,2,2,1,2,3,1
"6",1,4,2,2,1,4,4,2,3,4,3,4
"7",2,3,1,4,4,2,3,2,4,4,4,1
"8",2,3,2,1,2,4,1,3,1,2,2,1
"9",4,2,1,3,1,2,1,1,3,1,2,1
"10",1,3,4,2,3,1,1,1,4,1,4,4
"11",4,4,3,4,2,1,3,1,1,4,2,2
"12",3,4,1,1,1,3,2,1,1,3,1,4
"13",3,2,3,1,2,2,4,2,2,1,4,3
"14",2,2,2,3,3,3,4,1,4,3,3,2
"15",4,4,4,1,4,2,4,3,4,3,2,3
"16",1,2,4,1,4,4,2,2,2,4,2,2
"17",3,1,4,2,2,4,4,4,4,4,1,1
"18",2,1,1,2,1,1,1,3,2,3,4,2
"19",3,3,3,3,4,3,1,4,1,4,3,3
"20",1,1,1,4,2,3,2,3,4,1,3,3
"21",2,1,3,4,4,4,1,1,3,2,1,3
"22",1,2,3,3,1,1,3,3,1,2,1,4
"23",1,4,4,4,3,3,4,4,2,2,4,1
"24",3,4,2,3,3,2,2,3,3,1,1,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
