"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,3,2,3,1,2,4,1
"2",3,4,3,4,1,1,3,2
"3",4,3,4,2,2,4,4,1
"4",2,4,4,3,4,1,1,4
"5",2,3,4,1,4,3,2,2
"6",4,2,2,3,4,3,3,2
"7",2,1,1,4,3,4,3,1
"8",4,3,3,4,3,2,1,3
"9",1,4,2,2,3,4,1,2
"10",1,1,4,4,2,2,4,2
"11",4,4,1,1,1,2,2,1
"12",1,4,3,1,2,3,3,4
"13",1,2,1,4,1,3,1,4
"14",3,2,4,2,3,2,3,4
"15",3,1,3,2,4,3,1,1
"16",3,2,1,1,2,1,1,2
"17",2,2,3,1,1,4,4,3
"18",4,1,4,3,1,4,2,3
"19",2,1,2,2,2,2,2,3
"20",1,3,1,2,4,1,3,3
"21",4,1,2,1,4,1,4,4
"22",3,3,2,4,2,4,2,4
"23",3,4,1,3,3,3,4,3
"24",1,2,3,3,3,1,2,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
