"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",2,2,3,2,1,1,1,1,1,2,2,3,1,3,1,3,2,3
"2",1,2,1,3,2,2,2,2,3,3,2,3,2,1,3,2,2,3
"3",3,1,1,1,2,2,2,3,1,2,2,2,1,2,2,2,1,2
"4",2,2,1,3,2,3,1,3,1,1,1,3,2,3,2,1,1,1
"5",3,1,3,3,3,1,3,1,3,1,1,1,1,3,3,2,1,3
"6",1,3,2,2,3,3,1,1,1,3,2,1,2,3,2,2,3,2
"7",3,2,1,2,3,1,3,2,1,3,1,1,3,2,3,1,2,2
"8",2,1,2,1,2,1,1,1,3,3,3,2,2,2,1,1,2,3
"9",2,3,1,2,1,1,3,3,3,3,3,3,1,2,2,2,3,1
"10",2,1,2,3,1,3,2,2,1,2,3,1,3,1,1,2,3,1
"11",3,2,2,2,2,3,2,3,2,1,3,1,1,1,2,3,2,3
"12",1,2,3,3,2,2,3,3,3,3,3,1,3,3,1,3,1,2
"13",1,1,1,1,3,1,1,3,3,1,1,3,3,1,1,3,3,2
"14",3,2,2,1,3,2,3,1,2,1,2,3,2,2,1,2,3,1
"15",3,3,3,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2
"16",3,3,3,3,3,3,1,3,3,2,2,2,3,2,3,3,2,1
"17",1,3,3,1,3,2,2,2,1,1,3,2,1,3,1,1,2,1
"18",2,3,2,1,2,3,3,2,3,1,2,3,1,1,3,1,3,2
"19",3,1,2,3,1,2,1,2,2,3,1,3,1,3,2,3,2,2
"20",2,2,3,1,1,3,2,3,2,3,1,2,3,3,3,2,3,3
"21",2,1,1,2,3,2,3,2,2,2,3,2,2,3,3,3,3,3
"22",3,3,1,1,1,2,1,1,1,3,3,1,2,1,3,3,1,1
"23",1,3,2,3,1,1,3,2,1,1,2,2,3,2,2,3,1,3
"24",1,3,1,3,2,3,2,1,2,2,1,1,1,2,1,1,3,3
"25",1,1,3,2,1,3,2,1,2,1,3,3,3,2,3,1,1,2
"26",1,1,3,1,1,1,3,3,2,2,2,1,2,1,2,1,2,1
"27",2,2,2,2,3,2,2,1,3,2,1,2,3,1,2,1,1,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
