"","V1","V2","V3","V4","V5","V6"
"1",3,2,3,3,3,3
"2",3,1,2,2,2,3
"3",1,3,2,2,1,1
"4",3,3,2,1,3,2
"5",1,1,1,3,1,3
"6",2,1,3,1,3,3
"7",2,1,2,1,1,1
"8",2,2,1,3,2,1
"9",1,2,2,1,2,3
"10",1,2,3,1,1,2
"11",3,2,3,2,2,1
"12",2,3,2,3,2,3
"13",2,2,1,2,1,3
"14",3,3,1,1,1,3
"15",2,3,3,1,2,1
"16",3,1,1,1,2,2
"17",3,2,2,3,1,2
"18",1,3,1,2,2,2
"19",2,2,2,2,3,2
"20",1,1,2,3,3,1
"21",3,3,3,3,1,1
"22",2,1,3,2,1,2
"23",2,3,1,3,3,2
"24",3,1,1,2,3,1
"25",1,1,3,3,2,2
"26",1,2,1,1,3,1
"27",1,3,3,2,3,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
