"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,2,3,1,2,2,1,2,1
"2",4,1,4,3,2,3,3,3,1
"3",2,3,4,2,4,2,3,3,2
"4",3,2,3,2,3,3,3,1,4
"5",4,4,2,2,1,2,2,3,4
"6",2,4,2,4,3,3,4,2,1
"7",4,2,1,3,3,2,1,4,3
"8",2,3,3,3,3,4,1,3,4
"9",4,4,3,4,4,1,3,4,1
"10",2,2,1,4,1,4,3,1,3
"11",3,3,2,3,4,3,4,4,3
"12",1,1,2,1,3,2,3,3,3
"13",1,3,1,2,3,1,2,1,1
"14",3,4,4,1,3,4,2,1,2
"15",1,2,3,4,2,3,2,4,2
"16",4,3,2,1,2,1,4,1,4
"17",1,2,4,1,1,4,4,3,1
"18",3,3,4,4,1,1,2,2,3
"19",2,2,2,3,4,1,2,2,2
"20",1,4,1,3,2,4,3,2,4
"21",2,4,4,2,2,1,1,4,3
"22",4,1,3,2,4,4,4,2,3
"23",4,3,1,1,1,3,1,2,2
"24",3,1,1,4,2,1,4,3,2
"25",2,1,1,1,4,3,2,4,4
"26",1,1,4,4,4,2,1,1,4
"27",1,4,3,3,1,2,4,1,2
"28",3,1,2,2,1,4,1,4,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
