"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,2,3,3,3,3,2,3,2,3,2,2,2,3,2
"2",1,1,1,2,3,3,2,1,1,2,3,2,3,2,3
"3",2,1,2,3,3,2,2,3,3,1,2,3,1,1,1
"4",1,2,3,3,3,2,3,1,2,3,3,3,1,2,1
"5",3,2,2,2,3,1,1,2,2,1,3,1,2,1,3
"6",1,3,2,1,3,3,1,3,1,1,1,3,3,1,2
"7",3,1,3,3,2,1,1,1,1,2,3,3,1,1,2
"8",3,2,1,2,2,3,3,2,3,1,3,3,3,3,1
"9",2,3,1,3,3,1,3,2,3,3,1,2,2,1,3
"10",2,1,1,3,2,3,1,3,2,1,2,1,3,2,3
"11",1,3,1,2,2,1,2,3,1,3,2,1,2,1,1
"12",2,2,1,1,2,1,2,2,3,2,2,2,1,2,2
"13",1,3,3,2,3,3,1,2,3,3,1,1,1,2,2
"14",2,3,2,1,2,3,2,1,1,3,3,1,1,3,3
"15",3,3,3,3,1,1,2,1,3,1,1,2,3,2,1
"16",1,3,1,1,1,1,1,3,2,1,3,2,1,3,1
"17",3,1,2,2,2,3,3,3,2,2,1,2,1,1,1
"18",1,2,2,3,2,2,1,1,3,3,1,2,3,3,3
"19",3,1,2,1,1,1,3,3,3,3,3,1,2,2,2
"20",3,3,2,1,3,2,3,2,2,2,2,3,3,2,3
"21",2,3,3,2,2,2,3,1,1,1,2,2,2,2,2
"22",3,1,1,1,3,2,1,1,3,2,2,1,2,3,1
"23",2,1,2,2,1,1,3,1,2,3,2,3,3,3,2
"24",1,2,2,3,1,3,1,2,1,2,2,2,2,2,1
"25",1,3,2,3,2,2,2,2,2,2,3,1,3,1,2
"26",2,2,3,2,3,1,3,3,1,2,1,1,3,3,1
"27",2,3,3,2,1,2,1,3,3,2,3,3,2,3,3
"28",1,2,3,1,1,3,3,1,3,1,2,1,1,1,3
"29",1,1,3,1,2,1,2,2,2,1,1,3,2,3,3
"30",2,1,3,1,1,2,1,2,1,3,3,2,3,1,1
"31",3,1,1,3,1,2,3,2,1,1,1,1,1,3,2
"32",3,2,1,2,1,2,2,3,1,3,1,3,1,2,3
"33",2,2,1,1,1,3,2,1,2,2,1,3,2,1,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
