"","V1","V2","V3","V4","V5"
"1",3,1,2,2,2
"2",1,3,1,1,2
"3",2,2,3,3,2
"4",2,3,3,2,1
"5",1,2,3,1,1
"6",1,1,2,1,3
"7",2,1,1,3,3
"8",1,2,3,2,2
"9",1,2,1,3,3
"10",3,1,3,3,1
"11",3,3,1,2,3
"12",3,1,1,1,3
"13",2,2,1,1,1
"14",2,3,1,3,1
"15",3,2,2,1,2
"16",2,3,3,1,3
"17",1,1,1,2,1
"18",2,1,3,1,2
"19",1,2,2,3,1
"20",2,1,1,2,2
"21",1,1,3,2,3
"22",3,2,1,3,2
"23",1,1,2,3,2
"24",1,3,2,2,1
"25",2,2,2,2,3
"26",2,1,2,1,1
"27",3,3,3,2,2
"28",3,3,2,1,1
"29",3,2,1,2,1
"30",3,3,2,3,3
"31",2,3,2,3,2
"32",3,2,3,1,3
"33",1,3,3,3,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
