"","V1","V2","V3","V4"
"1",2,3,3,3
"2",3,2,1,1
"3",2,2,4,3
"4",4,1,1,2
"5",3,1,4,4
"6",3,3,2,4
"7",1,3,2,2
"8",1,4,1,4
"9",4,2,2,2
"10",1,3,4,1
"11",1,4,3,2
"12",1,1,4,3
"13",1,4,2,3
"14",3,3,1,3
"15",4,2,4,1
"16",3,1,2,3
"17",4,4,4,3
"18",4,3,1,4
"19",2,1,3,1
"20",2,3,1,1
"21",2,1,1,4
"22",3,4,1,2
"23",2,4,4,4
"24",3,2,3,2
"25",4,2,3,3
"26",2,4,2,2
"27",4,4,2,1
"28",3,4,3,1
"29",1,2,1,3
"30",1,1,2,1
"31",1,2,3,4
"32",3,3,4,2
"33",2,2,2,4
"34",4,1,3,4
"35",4,3,3,1
"36",2,1,4,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
