"","V1","V2","V3","V4","V5","V6","V7"
"1",1,3,3,1,3,3,3
"2",1,2,2,3,3,2,2
"3",3,3,2,3,3,3,1
"4",1,3,2,2,3,1,3
"5",3,2,2,1,2,1,2
"6",2,3,2,1,2,2,3
"7",2,1,1,2,2,1,3
"8",3,1,2,2,1,3,3
"9",1,1,2,3,2,3,3
"10",3,2,3,2,3,3,2
"11",2,2,2,3,1,1,3
"12",2,1,2,1,3,3,2
"13",1,1,1,1,2,1,2
"14",1,2,3,2,2,2,3
"15",2,2,1,2,1,2,2
"16",2,1,2,1,1,2,1
"17",2,1,3,3,2,2,2
"18",2,3,1,3,3,1,2
"19",2,3,3,1,1,3,2
"20",3,3,1,2,1,1,1
"21",1,2,1,1,1,3,1
"22",3,3,3,3,2,1,3
"23",3,2,3,1,1,2,3
"24",2,3,3,2,3,2,1
"25",1,3,2,1,2,1,1
"26",1,3,1,2,2,3,2
"27",1,1,3,2,1,1,2
"28",3,1,1,3,1,3,2
"29",3,1,1,1,3,2,3
"30",3,1,3,3,3,1,1
"31",1,3,1,3,1,2,3
"32",2,2,2,2,2,3,1
"33",2,2,1,3,3,3,3
"34",3,1,3,1,2,3,1
"35",2,2,3,1,3,1,1
"36",1,1,1,2,3,2,1
"37",3,2,1,3,2,2,1
"38",1,2,3,3,1,1,1
"39",3,3,2,2,1,2,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
