"","V1","V2","V3"
"1",3,2,1
"2",1,1,2
"3",2,3,3
"4",2,2,2
"5",3,2,3
"6",1,1,1
"7",3,1,2
"8",2,3,1
"9",3,1,3
"10",1,1,3
"11",1,3,1
"12",2,2,3
"13",2,1,3
"14",3,1,1
"15",1,3,3
"16",2,2,1
"17",3,1,3
"18",3,2,2
"19",1,3,3
"20",2,1,2
"21",1,2,3
"22",2,1,3
"23",3,3,1
"24",2,3,2
"25",2,2,1
"26",1,3,1
"27",1,1,2
"28",1,2,2
"29",2,3,2
"30",2,1,1
"31",3,2,2
"32",3,1,1
"33",2,3,1
"34",3,3,2
"35",1,2,2
"36",3,2,1
"37",2,2,3
"38",3,3,3
"39",3,3,3
"40",3,3,2
"41",1,3,2
"42",1,2,1
"43",1,2,3
"44",1,1,1
"45",2,1,2

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
