"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,2,1,3,3,1,3,3,2,3,3
"2",1,1,3,3,3,3,1,3,3,1,3
"3",3,2,3,3,1,2,2,1,3,2,2
"4",2,2,3,3,1,3,3,2,3,3,3
"5",2,3,1,2,3,3,2,1,3,3,3
"6",3,1,1,2,3,2,1,1,1,3,2
"7",1,2,2,2,3,2,1,1,3,1,1
"8",2,1,3,2,2,3,1,2,1,2,2
"9",1,2,1,3,2,1,3,1,3,2,2
"10",1,3,1,3,1,2,2,2,1,1,2
"11",1,2,3,2,3,1,2,2,3,3,2
"12",3,3,3,1,2,2,3,2,3,2,3
"13",2,1,1,1,1,3,3,3,3,1,2
"14",3,2,3,1,2,3,2,1,1,3,1
"15",3,1,2,3,3,3,2,2,2,2,3
"16",3,2,2,1,1,1,1,2,1,2,2
"17",3,2,2,1,1,2,2,3,3,1,3
"18",2,3,2,2,2,2,2,2,2,3,2
"19",2,2,2,1,2,3,1,3,1,3,3
"20",1,1,1,1,2,2,3,3,2,3,2
"21",2,2,1,2,1,1,1,1,2,1,3
"22",1,3,1,1,3,3,1,2,2,3,1
"23",2,3,2,3,3,1,1,2,3,1,2
"24",1,3,2,3,2,3,2,3,3,2,1
"25",1,3,3,2,2,1,1,3,1,2,3
"26",1,1,2,1,3,2,2,1,2,2,3
"27",1,1,3,2,1,2,3,2,2,1,1
"28",2,3,2,3,2,2,3,1,1,1,3
"29",3,1,1,1,2,2,1,1,3,2,1
"30",2,1,2,2,3,1,3,3,3,2,1
"31",3,3,1,3,2,3,1,2,1,1,1
"32",3,1,3,1,3,1,2,3,1,1,2
"33",2,2,1,1,3,2,3,2,1,2,3
"34",3,2,3,2,2,3,3,3,2,1,2
"35",1,3,3,1,3,3,3,1,1,1,2
"36",2,1,1,3,1,2,2,2,1,3,1
"37",3,3,3,2,1,2,1,3,2,3,3
"38",3,3,2,3,3,1,3,3,1,3,1
"39",1,1,2,3,1,3,1,1,2,3,2
"40",3,3,2,2,1,3,3,1,2,2,1
"41",2,2,3,3,3,2,1,3,2,2,1
"42",1,1,2,2,1,1,3,1,1,3,3
"43",1,2,1,2,1,3,2,3,1,2,1
"44",1,2,2,1,2,1,3,2,2,1,1
"45",2,3,1,1,1,1,2,3,2,2,2
"46",2,1,3,3,2,1,2,1,2,1,1
"47",3,1,1,2,2,1,2,2,3,1,3
"48",2,3,3,1,1,1,1,1,3,3,1

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
