"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,3,2,1,3,3,2,3,1,3,1,2,1
"2",2,1,1,2,3,1,3,2,1,2,1,1,1
"3",2,3,1,3,2,1,2,2,3,3,1,3,1
"4",2,1,1,3,3,2,1,1,2,1,2,3,2
"5",3,1,1,1,2,1,1,3,3,2,1,3,2
"6",2,2,1,2,3,2,2,3,2,3,1,1,2
"7",3,1,3,1,3,3,3,1,2,1,1,2,2
"8",1,2,1,3,2,2,2,3,2,2,2,2,1
"9",3,3,2,1,3,2,2,2,3,2,2,1,3
"10",3,3,1,2,2,3,3,2,2,1,3,3,3
"11",1,2,3,3,3,2,3,2,3,1,3,1,2
"12",3,3,3,3,1,1,3,1,2,2,3,3,1
"13",3,1,3,1,2,2,2,1,2,3,3,2,3
"14",3,2,1,2,1,3,1,1,1,3,2,1,1
"15",1,1,2,3,2,3,1,2,2,3,2,1,2
"16",3,3,2,3,3,3,1,1,3,2,1,2,2
"17",1,2,3,2,2,1,1,3,3,1,1,1,3
"18",2,3,2,1,3,3,1,3,3,1,3,3,3
"19",3,2,2,2,1,2,3,3,3,1,1,3,1
"20",3,2,2,2,2,1,1,2,1,2,3,2,2
"21",1,1,1,1,3,2,3,3,1,2,3,3,1
"22",1,2,2,1,3,1,3,2,2,2,1,3,3
"23",2,1,2,3,1,1,1,3,3,1,2,2,1
"24",3,1,3,1,2,2,1,2,1,1,2,1,1
"25",1,1,2,2,3,1,2,2,1,1,2,2,3
"26",2,3,1,1,1,2,3,2,3,3,2,2,2
"27",2,2,2,3,1,2,1,2,1,3,3,3,3
"28",2,1,3,3,2,3,2,3,3,2,3,1,3
"29",1,2,1,1,1,3,1,2,2,1,3,2,1
"30",1,1,3,3,1,3,2,2,1,2,1,3,2
"31",1,3,1,3,3,1,1,1,1,3,3,1,3
"32",1,3,2,2,2,2,2,1,1,1,2,3,2
"33",2,3,3,2,1,1,2,2,2,1,1,2,2
"34",2,2,3,2,3,2,1,1,2,2,3,2,1
"35",1,3,3,2,1,1,1,3,2,3,2,3,2
"36",2,2,3,1,2,3,3,3,1,3,2,3,2
"37",2,1,2,2,1,3,3,3,2,2,2,1,3
"38",1,1,2,1,1,1,3,1,3,3,3,1,2
"39",1,3,3,2,2,3,3,1,3,2,2,2,1
"40",3,3,2,3,2,2,3,3,2,3,1,1,1
"41",2,2,2,1,2,1,2,1,2,1,3,1,1
"42",1,1,1,2,1,2,2,1,3,3,1,2,3
"43",3,2,3,3,3,1,3,3,1,3,2,2,3
"44",3,1,3,2,3,3,2,2,3,3,3,3,1
"45",2,2,1,3,2,3,3,1,1,1,1,2,3
"46",2,3,3,1,1,2,1,1,1,2,1,1,3
"47",3,3,1,3,1,3,2,3,1,1,3,1,2
"48",3,2,1,1,1,1,2,1,3,2,2,3,3

Generated by UniDOE<https://CRAN.R-project.org/package=UniDOE>
